gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0041579,Seydou Traore,MIA,TE,3,4.0,1.0,healthy,0.97,,,306.9,2,0,0.006,Greg Dulcich (healthy); Will Kacmarek (healthy)
00-0041077,Justin Joly,MIA,TE,4,3.0,1.0,healthy,0.97,,,260.0,3,0,0.006,Greg Dulcich (healthy); Will Kacmarek (healthy); Seydou Traore (healthy)
00-0037078,Cole Turner,MIA,TE,5,5.0,0.0,ir,0.02,Undisclosed,,663.6,4,0,0.007,Greg Dulcich (healthy); Will Kacmarek (healthy); Seydou Traore (healthy); Justin Joly (healthy)
00-0039880,Malik Washington,MIA,WR,1,1.0,0.0,healthy,0.97,,,47.9,0,0,0.0,nobody
00-0041523,Caleb Douglas,MIA,WR,2,2.0,0.0,questionable,0.72,Ankle,,22.1,1,0,0.007,Malik Washington (healthy)
00-0041525,Chris Bell,MIA,WR,3,3.0,0.0,questionable,0.72,Knee,,18.1,2,0,0.04,Malik Washington (healthy); Caleb Douglas (questionable)
00-0041529,Kevin Coleman Jr.,MIA,WR,4,5.0,1.0,healthy,0.97,,,35.0,3,0,0.066,Malik Washington (healthy); Caleb Douglas (questionable); Chris Bell (questionable)
00-0037666,Jalen Tolbert,MIA,WR,5,4.0,1.0,healthy,0.97,,,91.6,4,0,0.068,Malik Washington (healthy); Caleb Douglas (questionable); Chris Bell (questionable); Kevin Coleman Jr. (healthy)
00-0038824,Ryan Miller,MIA,WR,6,6.0,0.0,questionable,0.72,Hip,,14.1,5,0,0.069,Malik Washington (healthy); Caleb Douglas (questionable); Chris Bell (questionable); Kevin Coleman Jr. (healthy); Jalen Tolbert (healthy)
00-0035228,Kyler Murray,MIN,QB,1,1.0,0.0,healthy,0.97,,,0.4,0,0,0.0,nobody
00-0032950,Carson Wentz,MIN,QB,2,2.0,0.0,healthy,0.97,,,68.6,1,0,0.0,Kyler Murray (healthy)
00-0039923,J.J. McCarthy,MIN,QB,3,3.0,0.0,healthy,0.97,,,140.4,2,0,0.0,Kyler Murray (healthy); Carson Wentz (healthy)
00-0033293,Aaron Jones Sr.,MIN,RB,1,1.0,0.0,questionable,0.72,Undisclosed,,17.4,0,0,0.0,nobody
00-0036425,DeeJay Dallas,MIN,RB,2,2.0,0.0,questionable,0.72,Toe,,15.6,1,0,0.163,Aaron Jones Sr. (questionable)
00-0041104,Demond Claiborne,MIN,RB,3,3.0,0.0,healthy,0.97,,,59.3,2,0,0.188,Aaron Jones Sr. (questionable); DeeJay Dallas (questionable)
00-0037525,Jordan Mason,MIN,RB,4,7.0,3.0,ir,0.02,Thumb,,188.3,3,0,0.191,Aaron Jones Sr. (questionable); DeeJay Dallas (questionable); Demond Claiborne (healthy)
